doc_no,request_dt,approval_dt,req_status,service_nm,system_cd,req_type,title,due_dt,requester_id,dev_lead_id,uat_lead_id,deployer_id,dml_lead_id
ITSM-2025-00005,2025-11-04 05:47:58,2025-11-05 13:47:58,APPROVED,데이터웨어하우스,DW,DEV,수수료 계산 수정,2025-11-17,14176,28250,24857,22964,
ITSM-2025-00001,2025-11-04 07:11:30,2025-11-05 00:11:30,APPROVED,고객포털,PORTAL,DEV,리포트 기능 추가,2025-11-10,22793,15294,11051,10812,
ITSM-2025-00004,2025-11-04 14:59:26,2025-11-06 07:59:26,APPROVED,경영관리시스템,ERP,DDL,테이블 파티셔닝,2025-11-16,21724,10212,20000,25574,17623
ITSM-2025-00003,2025-11-06 08:48:28,2025-11-08 04:48:28,APPROVED,고객포털,PORTAL,AUTH,임시 접근 권한 부여,2025-11-14,26635,26959,18630,10116,
ITSM-2025-00002,2025-11-07 05:43:37,2025-11-08 02:43:37,APPROVED,신용평가시스템,CRED,DML,계정 상태 일괄 업데이트,2025-11-11,14176,10212,24132,10116,13779
ITSM-2025-00006,2025-11-07 06:17:43,2025-11-07 11:17:43,APPROVED,신용평가시스템,CRED,AUTH,관리자 계정 생성,2025-11-20,12254,14207,17288,21948,
ITSM-2025-00008,2025-11-10 22:07:52,2025-11-11 07:07:52,APPROVED,개발포털,DEVP,EMER,장애 대응 패치,2025-11-16,16967,29782,11051,10256,
ITSM-2025-00012,2025-11-13 09:41:05,2025-11-15 01:41:05,APPROVED,고객포털,PORTAL,DEV,수수료 계산 수정,2025-11-25,10256,19012,13542,23737,
ITSM-2025-00007,2025-11-13 14:54:01,2025-11-13 18:54:01,APPROVED,데이터웨어하우스,DW,DDL,신규 테이블 생성,2025-11-26,21724,11543,15169,18238,20286
ITSM-2025-00170,2025-11-13 21:55:41,,REVIEW,개발포털,DEVP,DEV,배치 스케줄 변경,2025-11-20,13358,27036,20929,23338,
ITSM-2025-00010,2025-11-13 23:04:26,2025-11-14 13:04:26,APPROVED,경영관리시스템,ERP,DEV,UI 버그 수정,2025-11-18,26171,26692,17505,19232,
ITSM-2025-00009,2025-11-14 03:30:40,2025-11-14 17:30:40,APPROVED,경영관리시스템,ERP,DEV,배치 스케줄 변경,2025-11-21,13789,28918,15294,16967,
ITSM-2025-00011,2025-11-14 05:06:08,2025-11-14 10:06:08,APPROVED,신용평가시스템,CRED,DEV,UI 버그 수정,2025-11-28,12321,29282,17457,15182,
ITSM-2025-00169,2025-11-16 23:02:52,,REVIEW,개발포털,DEVP,DML,잔액 정합성 보정,2025-11-23,28211,16232,19810,10116,
ITSM-2025-00014,2025-11-17 23:25:53,2025-11-19 17:25:53,APPROVED,신용평가시스템,CRED,DEV,API 연동 개발,2025-11-29,22504,24132,18698,10116,
ITSM-2025-00015,2025-11-18 12:35:31,2025-11-19 23:35:31,APPROVED,신용평가시스템,CRED,DDL,컬럼 추가,2025-11-27,26959,24014,17133,22964,23193
ITSM-2025-00018,2025-11-18 23:56:13,2025-11-20 21:56:13,APPROVED,고객포털,PORTAL,EMER,긴급 핫픽스 배포,2025-11-21,26617,19810,16300,10106,
ITSM-2025-00017,2025-11-19 18:38:45,2025-11-21 09:38:45,APPROVED,개발포털,DEVP,DEV,리포트 기능 추가,2025-12-03,15329,23316,28346,28667,
ITSM-2025-00016,2025-11-20 00:19:20,2025-11-21 16:19:20,APPROVED,데이터웨어하우스,DW,DEV,로그인 로직 개선,2025-11-30,10018,22433,20101,28667,
ITSM-2025-00013,2025-11-21 15:08:56,2025-11-21 22:08:56,APPROVED,고객포털,PORTAL,AUTH,관리자 계정 생성,2025-12-04,14575,29876,11986,21327,
ITSM-2025-00164,2025-11-23 05:44:32,,REJECTED,개발포털,DEVP,DML,잔액 정합성 보정,2025-11-30,22252,24857,14090,28667,
ITSM-2025-00023,2025-11-25 09:55:48,2025-11-27 04:55:48,APPROVED,경영관리시스템,ERP,DEV,세션 타임아웃 조정,2025-12-06,22418,13486,13060,10018,
ITSM-2025-00021,2025-11-25 09:59:07,2025-11-26 23:59:07,APPROVED,데이터웨어하우스,DW,DEV,UI 버그 수정,2025-12-03,23087,14828,15293,15182,
