rule_id,rule_nm,audit_domain,severity,severity_score,source_law,source_article,check_target,condition_desc,violation_count,yn_violation,risk_deduction,remediation
R001,직무분리 위반 배포 점검,변경관리,HIGH,10,전자금융감독규정,제8조의3 정보기술부문 내부통제를 위한 직무분리 기준 수립·운용,"deploy_log, itsm_req",운영환경 배포 시 변경요청 신청자와 배포자가 동일인인 경우 직무분리 원칙 위반,1,Y,10,신청자와 배포자를 분리하고 직무분리 기준 재수립
R002,미승인 운영배포 점검,변경관리,HIGH,10,전자금융감독규정,제8조의3 정보기술부문 내부통제를 위한 직무분리 기준 수립·운용,deploy_log,변경요청서(CR) 없이 운영환경에 배포된 건 (무단배포),1,Y,10,모든 운영배포는 승인된 CR과 연결 필수
R003,사후승인 배포 점검,변경관리,HIGH,10,전자금융감독규정,제8조의3 정보기술부문 내부통제를 위한 직무분리 기준 수립·운용,"deploy_log, itsm_req",배포일시가 CR 최종결재일보다 앞선 경우 (사전승인 없이 배포),1,Y,10,배포 전 반드시 결재 완료 확인 프로세스 강화
R004,웹서버 계정 권한검토 지연,접근통제,MEDIUM,5,전자금융감독규정,제17조제2호 공개용 웹서버 접근 사용자계정은 업무관련자만 접속 제한,sys_account,공개용 웹서버(ADMIN 등) 계정의 권한검토가 180일 초과 지연된 경우,7,Y,5,180일 이내 정기 권한검토 수행
R005,퇴사자 계정 미정리 점검,접근통제,HIGH,10,전자금융감독규정,제17조제2호 공개용 웹서버 접근 사용자계정은 업무관련자만 접속 제한,"sys_account, emp_master",퇴사자(yn_employed='N')의 시스템 계정이 ACTIVE 상태로 유지된 경우,0,N,0,퇴사 즉시 모든 시스템 계정 비활성화
R006,퇴사 후 시스템 접근 점검,접근통제,HIGH,10,전자금융감독규정,제17조제2호 공개용 웹서버 접근 사용자계정은 업무관련자만 접속 제한,"access_log, emp_master",퇴사일 이후 시스템에 접근한 이력이 존재하는 경우,0,N,0,퇴사자 계정 즉시 차단 및 접근로그 모니터링 강화
R007,ADMIN 계정 이중인증 미적용,접근통제,MEDIUM,5,전자금융감독규정,제17조제2호 공개용 웹서버 접근 시 이중 인증수단 적용,sys_account,관리자(ADMIN) 계정이 활성 상태이나 권한수준이 ADMIN인 계정 현황 (이중인증 대상),0,N,0,ADMIN 권한 계정에 이중인증(MFA) 필수 적용
R008,업무시간외 시스템 접근 점검,접근통제,LOW,2,전자금융감독규정,제17조 공개용 웹서버 관리대책 및 접근제어,access_log,야간(22:00~06:00) 시간대 시스템 접근 발생 건수 모니터링,3,Y,2,업무시간외 접근 사유 확인 및 모니터링 강화
R009,운영시스템 백업 실패 점검,운영통제,HIGH,10,전자금융거래법,제21조의5 침해사고 발생 시 피해확산 방지 필요조치,backup_log,운영시스템 백업이 실패(FAIL) 또는 부분완료(PARTIAL) 상태인 건,0,N,0,"백업 실패 원인 분석 및 재수행, 알림체계 구축"
R010,백업 복구테스트 미수행 점검,운영통제,MEDIUM,5,전자금융거래법,제21조의5 침해사고 시 피해확산 방지 조치,backup_log,전체백업(FULL) 완료 후 복구테스트를 수행하지 않은 건,0,N,0,정기적 복구테스트 수행 및 결과 기록
R011,로그인 실패 다발 계정 점검,접근통제,MEDIUM,5,전자금융감독규정,제17조 공개용 웹서버 접근제어 수단으로 보호,access_log,동일 계정에서 로그인 실패가 5회 이상 발생한 경우 (무차별 대입 의심),0,N,0,계정 잠금 정책 적용 및 이상징후 모니터링
